UMCIndex	NETClassRep	UMCMonoMW
789	0.2903	1034.489128
790	0.2897	842.48625
791	0.2903	920.998114
792	0.2897	1954.985656
793	0.29	2875.483298
794	0.2917	1823.05457
795	0.2926	1554.713181
796	0.2926	711.370135
797	0.2933	1767.852748
798	0.2922	2475.210917
799	0.2923	1560.864121
800	0.2925	1631.868638
801	0.2925	815.93412
802	0.2933	548.307259
803	0.294	926.486486
804	0.2946	709.35809
805	0.2946	735.427615
806	0.2935	1846.982519
807	0.2935	2165.039893
808	0.2957	673.416341
809	0.2941	650.339054
810	0.2944	934.51418
811	0.2944	1201.692442
812	0.2944	521.296471
813	0.2948	1096.498113
814	0.295	548.248953
815	0.2939	712.374325
816	0.2944	926.987459
817	0.2941	1097.501866
818	0.2953	1098.546213
819	0.2943	578.318189
820	0.2953	1634.767314
821	0.2964	887.559535
822	0.2946	2022.98082
823	0.2957	1660.84511
824	0.2955	1097.501908
825	0.2958	560.332361
826	0.2973	1264.704104
827	0.2973	1465.635334
828	0.2969	977.519815
829	0.2967	1148.685557
830	0.2973	794.435732
831	0.2999	1487.834834
832	0.3012	1638.930188
833	0.3001	1580.713552
834	0.2992	1005.56117
835	0.3008	906.536346
836	0.3001	3126.76359
837	0.3006	662.412086
838	0.3008	3219.63683
839	0.3001	2487.249251
840	0.301	3277.858037
841	0.301	2545.466463
842	0.3023	1071.535192
843	0.3028	1388.668511
844	0.3032	1249.630705
845	0.3071	1385.741927
846	0.3028	2733.297724
847	0.3028	1103.525139
848	0.3023	3027.595256
849	0.303	877.502426
850	0.3032	1420.659084
851	0.3032	794.43577
852	0.303	2638.297515
853	0.3028	2776.333678
854	0.3038	1310.746327
855	0.3037	920.498666
856	0.3058	1121.571844
857	0.3038	3119.551125
858	0.3041	3118.552918
859	0.3058	460.249335
860	0.3058	921.501869
861	0.3074	1075.556675
862	0.3055	2444.162732
863	0.3065	1577.878346
864	0.3095	1639.759052
865	0.3055	1174.48387
866	0.3068	1293.69769
867	0.3083	1689.977748
868	0.3074	1795.960096
869	0.3083	1803.9701
870	0.3089	1228.66671
871	0.3086	1742.889918
872	0.308	581.297773
873	0.3095	1215.662908
874	0.3098	1510.835902
875	0.3095	1404.626555
876	0.3123	1059.560682
877	0.3104	1116.583282
878	0.312	1062.571868
879	0.3123	531.285734
880	0.3123	1173.551735
881	0.3116	2119.121776
882	0.3129	2233.112071
883	0.3139	946.513723
884	0.312	3292.672273
885	0.3132	1060.506562
886	0.3139	693.35995
887	0.3169	918.55258
888	0.3157	839.5229
889	0.3178	1756.852544
890	0.3163	1978.114929
891	0.3175	607.819896
892	0.3187	456.228481
893	0.3187	1215.640591
894	0.3205	1276.666918
895	0.3199	912.45716
896	0.3199	1552.788596
897	0.3221	920.49825
898	0.3205	1837.000487
899	0.3196	2569.288281
900	0.3218	1432.768626
901	0.3233	1261.586755
902	0.3215	1888.01724
903	0.3212	3485.609107
904	0.3221	932.536832
905	0.323	1458.724998
906	0.3236	1156.614464
907	0.3241	3625.719277
908	0.3252	1561.883123
909	0.3259	2264.190836
910	0.3238	1267.64679
911	0.3244	963.503889
912	0.3261	988.480251
913	0.3261	1295.709952
914	0.3255	2265.196609
915	0.326	689.316766
916	0.3261	2284.189606
917	0.3262	2591.417972
918	0.3265	764.396599
919	0.3266	1231.635687
920	0.3269	1602.983987
921	0.3276	2317.275087
922	0.3275	3469.615242
923	0.327	901.447712
924	0.3271	1091.507651
925	0.3287	1406.719069
926	0.327	1947.951893
927	0.3269	2117.019157
928	0.3274	2370.187939
929	0.3276	3376.792109
930	0.3274	1251.655801
931	0.3276	2316.272332
932	0.3276	2431.263733
933	0.3281	972.549476
934	0.3278	3289.826027
935	0.328	760.396503
936	0.3279	873.48042
937	0.328	1593.837191
938	0.328	1025.461151
939	0.328	3470.609391
940	0.3281	973.050128
941	0.329	1082.514604
942	0.3282	3003.550942
943	0.3287	1228.631539
944	0.3284	3004.550188
945	0.3288	2447.185262
946	0.3285	2314.24674
947	0.3292	1708.905684
948	0.3286	2056.049366
949	0.3287	2813.440884
950	0.3291	854.452644
951	0.3294	993.576345
952	0.3292	569.635345
953	0.3291	635.339466
954	0.329	2165.030101
955	0.3296	869.41801
956	0.3297	2090.126217
957	0.3298	1357.673357
958	0.3301	660.396374
959	0.3299	2715.346391
960	0.3298	3447.79649
961	0.3304	1936.010457
962	0.33	2018.067329
963	0.3302	3293.679745
964	0.3306	903.460571
965	0.3303	3872.001148
966	0.331	1686.831466
967	0.3307	3622.836664
968	0.3311	3373.66357
969	0.331	2590.292092
970	0.3311	1739.743106
971	0.3311	806.407991
972	0.3336	1222.624942
973	0.3314	1734.810261
974	0.3316	562.277987
975	0.343	1251.651971
976	0.3324	2909.451084
977	0.334	2445.251124
978	0.3352	976.534573
979	0.3348	1223.12372
980	0.3376	1614.872927
981	0.3365	2837.496435
982	0.3383	1430.752938
983	0.3376	3229.741714
984	0.3369	1076.580687
985	0.3398	2149.044228
986	0.3398	1561.883526
987	0.3394	3763.913696
988	0.342	1425.773365
989	0.3402	3040.644874
990	0.3413	3574.81751
991	0.3447	1885.89664
992	0.3423	3400.696845
993	0.3434	634.369319
994	0.342	807.437188
995	0.343	859.4344
996	0.3423	2165.04032
997	0.3423	2677.425573
998	0.3427	2678.428312
999	0.3453	1580.809393
1000	0.3434	1283.641745
1001	0.3456	1264.610439
1002	0.3447	1639.802967
1003	0.3453	3161.618986
1004	0.3452	3466.698947
1005	0.3454	1684.930472
1006	0.3455	2845.419271
1007	0.3459	2429.011751
1008	0.3455	2529.220837
1009	0.3466	1162.623906
1010	0.3463	1677.856906
1011	0.3459	3774.963832
1012	0.3461	1108.693302
1013	0.3459	568.36234
1014	0.3462	536.311926
1015	0.3465	1646.853024
1016	0.3465	950.470542
1017	0.3463	2840.479887
1018	0.347	1167.615303
1019	0.3465	3405.671814
1020	0.3465	1215.535527
1021	0.3475	3104.54154
1022	0.3469	1109.624145
1023	0.347	2335.23056
1024	0.347	685.366481
1025	0.3468	1009.54631
1026	0.3471	1066.567845
1027	0.347	548.30722
1028	0.3478	800.493981
1029	0.3471	1220.526172
1030	0.3477	3105.542776
1031	0.3478	687.410514
1032	0.3495	1486.82555
1033	0.3478	517.304835
1034	0.3478	616.373582
1035	0.3498	778.441127
1036	0.3477	973.525007
1037	0.3498	534.316815
1038	0.3495	647.401261
1039	0.3498	2265.266027
1040	0.3495	536.320717
1041	0.3489	2973.653423
1042	0.3489	1152.719879
1043	0.3498	662.375747
1044	0.3516	1433.788085
1045	0.3516	1091.623515
1046	0.3501	794.436425
1047	0.3538	2033.077447
1048	0.3516	2149.067868
1049	0.3504	2920.613091
1050	0.351	716.355641
1051	0.3513	2867.574845
1052	0.3528	1776.781334
1053	0.3538	2210.09603
1054	0.3528	2201.154506
1055	0.3538	1291.577212
1056	0.3528	592.260756
1057	0.3538	1360.736481
1058	0.3528	1486.699519
1059	0.3535	975.542481
1060	0.355	1962.030401
1061	0.3535	2979.469761
1062	0.3538	2978.466215
1063	0.3541	3166.361258
1064	0.3541	1684.928554
1065	0.3544	1979.017345
1066	0.3574	1359.750514
1067	0.3566	2248.123758
1068	0.356	946.514118
1069	0.3558	2839.337835
1070	0.3563	973.525029
1071	0.3569	1175.630533
1072	0.3579	1412.662348
1073	0.3572	2719.501851
1074	0.3574	2948.441044
1075	0.3572	1196.746109
1076	0.3566	3607.868233
1077	0.3604	1354.667233
1078	0.3615	2132.019122
1079	0.3587	2337.220732
1080	0.3615	1877.792514
1081	0.3633	1199.645435
1082	0.3595	2148.01633
1083	0.3615	508.264817
1084	0.3607	1574.778184
1085	0.3625	1684.930355
1086	0.3648	1889.000569
1087	0.3619	3078.435976
1088	0.3625	2399.289418
1089	0.3625	3077.434453
1090	0.3615	930.470956
1091	0.3615	1100.575407
1092	0.3669	1800.013681
1093	0.3629	1213.625124
1094	0.3633	1700.924412
1095	0.3648	2711.246505
1096	0.3651	3041.373246
1097	0.3669	1764.963109
