MassTagID,FeatureID,STAC_Score,Mass_Error,NET_Error,UP
23069823,708,2.1204E-07,-13.1988,0.0320,1.0000
23069941,709,2.1459E-26,24.0740,0.0460,1.0000
15253,711,0.9807,0.5314,0.0091,1.0000
30062357,719,1.4997E-05,-11.6577,-0.0175,1.0000
31781355,721,0.0004,3.7039,-0.0464,1.0000
11629,722,0.9862,-0.4437,0.0027,1.0000
1619,724,0.9867,0.0194,0.0019,1.0000
26157209,724,0.0002,0.0194,-0.0498,0
21181,726,0.9781,0.7626,0.0103,1.0000
18125,728,0.9867,-0.0462,-0.0014,1.0000
1053,729,0.9864,-0.0056,0.0028,1.0000
11084,731,0.9856,0.1139,0.0046,1.0000
23449,734,1.0175E-27,-24.7180,-0.0460,0
10953,735,0.0022,-0.7629,0.0489,0
11085,738,0.0002,8.1913,0.0388,0
7997858,739,1.4262E-11,-17.2168,-0.0007,1.0000
46384860,742,1.5182E-05,-3.4551,-0.0366,1.0000
23853,743,0.9866,0.4008,-0.0010,0.0060
1124,743,0.9864,0.4008,0.0021,0.9940
17270,744,0.9869,-0.0772,7.1000E-06,1.0000
1161,747,0.9835,-0.7668,0.0066,1.0000
4199744,753,0.9832,-0.2166,0.0072,1.0000
10992,754,0.5940,-0.2984,0.0301,1.0000
11735,756,0.9867,0.3062,-0.0009,1.0000
15084,757,0.9817,0.1350,-0.0088,1.0000
23728,757,0.1632,-8.0168,-0.0035,0
1591,759,0.9865,-0.3219,-0.0020,1.0000
1041,762,0.9867,-0.1769,-0.0014,1.0000
1031,765,0.9864,0.5803,0.0014,1.0000
24653,767,0.9845,-0.6265,0.0056,1.0000
12846,769,0.9858,0.9692,-0.0003,1.0000
31419880,769,3.7789E-13,15.9340,0.0451,0
1036,770,0.9863,-0.6075,0.0014,1.0000
1409,775,0.9869,-0.0567,-2.0700E-05,1.0000
11466,780,8.9897E-23,-22.0510,-0.0463,0
1152,782,0.9867,0.2585,0.0010,1.0000
1244,786,0.9861,0.0837,-0.0036,1.0000
16628,790,0.9861,0.1502,0.0036,1.0000
29258957,794,9.4376E-08,-12.8749,-0.0145,0
1232,795,0.9868,-0.2721,0.0007,1.0000
21971,795,7.6222E-10,-12.5533,-0.0480,0
22967,796,0.9865,-0.3378,0.0019,1.0000
10894,797,0.9849,-0.6646,-0.0046,1.0000
14220,799,0.9705,0.3043,-0.0137,1.0000
7997103,799,0.2228,0.3043,-0.0207,9.6910E-65
1192,803,0.9862,0.3913,0.0029,1.0000
29257892,803,2.1300E-05,11.0718,-0.0320,0
1204,804,0.9863,-0.0075,0.0032,1.0000
1276,805,0.9862,-0.3694,0.0029,1.0000
1224,808,0.9863,0.1148,0.0032,1.0000
11414,811,0.9864,0.5833,0.0010,1.0000
11956,813,0.9867,0.3347,0.0012,1.0000
29259218,813,4.8556E-19,-22.0050,0.0279,0
1118,818,0.9863,0.4178,0.0025,1.0000
1026,820,0.9866,-0.0954,-0.0021,1.0000
11598,821,0.9867,0.3474,0.0004,1.0000
15268,823,0.9820,-0.5317,-0.0081,1.0000
13153,826,0.9816,0.1020,-0.0088,1.0000
1080,827,0.9865,-0.5035,0.0003,1.0000
4207668,827,5.4266E-19,-22.5808,0.0086,0
11095,829,0.9867,0.3474,-0.0009,1.0000
11667,831,0.9869,0.0874,5.9400E-05,1.0000
1104,832,0.9868,-0.1202,-0.0006,1.0000
1061,833,0.9868,-0.2809,1.8000E-05,1.0000
1294,835,0.9867,0.3273,0.0003,1.0000
1475,842,0.9860,0.3136,0.0036,1.0000
1056,843,0.9868,0.0994,0.0008,1.0000
14767,844,0.9867,0.4017,-0.0005,1.0000
12121,845,0.9867,0.3255,0.0013,1.0000
15190,846,0.9859,-0.5773,-0.0030,1.0000
16629,849,0.9867,0.3638,0.0006,1.0000
6792314,853,4.6541E-07,8.5938,-0.0466,1.0000
1244,855,0.9786,0.6985,0.0101,1.0000
15144,856,0.9862,0.1881,0.0033,1.0000
1103,861,0.9744,0.3858,0.0123,1.0000
17439,862,2.5740E-10,-17.0023,0.0086,1.0000
